surface,kind,location,route,current_title,content_purpose,target_user,accurate,duplicated,outdated,too_detailed,unclear,needed_in_current_workflow,belongs_in,recommended_action,source_words,source_lines,dialog_markers,tooltip_markers,notification_markers,empty_state_markers,loading_state_markers,claim_markers
website,component,apps/website/components/marketing/connectors-grid.tsx,,Connectors Grid,Reusable content for Connectors Grid,Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,568,215,0,0,0,0,0,9
website,component,apps/website/components/marketing/connectors-teaser.tsx,,Connectors Teaser,Reusable content for Connectors Teaser,Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,322,124,0,0,0,0,0,0
website,component,apps/website/components/marketing/editorial-page.tsx,,Editorial Page,Reusable content for Editorial Page,Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,232,109,0,0,0,0,0,0
website,component,apps/website/components/marketing/elt-phases-section.tsx,,Elt Phases Section,Reusable content for Elt Phases Section,Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,355,125,0,0,0,0,0,0
website,component,apps/website/components/marketing/features-bento-section.tsx,,Features Bento Section,Reusable content for Features Bento Section,Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,1073,344,0,0,0,0,0,0
website,component,apps/website/components/marketing/hero-feature-cards.tsx,,Hero Feature Cards,Reusable content for Hero Feature Cards,Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,259,97,0,0,0,0,0,0
website,component,apps/website/components/marketing/how-it-works-data.tsx,,How It Works Data,Reusable content for How It Works Data,Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,48,25,0,0,0,0,0,0
website,component,apps/website/components/marketing/how-it-works-flow-tree.tsx,,How It Works Flow Tree,Reusable content for How It Works Flow Tree,Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,468,173,0,0,0,0,0,0
website,component,apps/website/components/marketing/how-it-works-preview.tsx,,How It Works Preview,Reusable content for How It Works Preview,Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,902,297,0,0,0,0,0,0
website,component,apps/website/components/marketing/how-it-works-section.tsx,,How It Works Section,Reusable content for How It Works Section,Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,611,204,0,0,0,0,0,1
website,component,apps/website/components/marketing/integrations-grid.tsx,,Integrations Grid,Reusable content for Integrations Grid,Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,159,65,0,0,0,0,0,0
website,component,apps/website/components/marketing/integrations-teaser.tsx,,Integrations Teaser,Reusable content for Integrations Teaser,Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,279,96,0,0,0,0,0,0
website,component,apps/website/components/marketing/page-shell.tsx,,Page Shell,Reusable content for Page Shell,Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,198,92,0,0,0,0,0,0
website,component,apps/website/components/marketing/principles-grid.tsx,,Principles Grid,Reusable content for Principles Grid,Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,376,137,0,0,0,0,0,0
website,component,apps/website/components/marketing/product-page-blocks.tsx,,Product Page Blocks,Reusable content for Product Page Blocks,Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,730,274,0,0,0,0,0,0
website,component,apps/website/components/marketing/product-screenshot.tsx,,Product Screenshot,Reusable content for Product Screenshot,Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,54,30,0,0,0,0,0,0
website,content-source,apps/website/components/marketing/product-workspace-demo-data.ts,,Product Workspace Demo Data,Reusable content for Product Workspace Demo Data,Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,153,53,0,0,0,0,0,0
website,component,apps/website/components/marketing/product-workspace-demo.tsx,,Product Workspace Demo,Reusable content for Product Workspace Demo,Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,514,201,0,0,0,0,0,0
website,component,apps/website/components/marketing/product-workspace-flow.tsx,,Product Workspace Flow,Reusable content for Product Workspace Flow,Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,619,240,0,0,0,0,0,0
website,component,apps/website/components/marketing/product-workspace-run-views.tsx,,Product Workspace Run Views,Reusable content for Product Workspace Run Views,Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,733,268,0,0,0,0,0,2
website,component,apps/website/components/marketing/saas-blocks.tsx,,Saas Blocks,Reusable content for Saas Blocks,Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,986,428,0,0,0,0,0,0
website,component,apps/website/components/marketing/section-header.tsx,,Section Header,Reusable content for Section Header,Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,148,60,0,0,0,0,0,0
website,component,apps/website/components/marketing/solutions-menu.tsx,,Solutions Menu,Reusable content for Solutions Menu,Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,319,136,0,0,0,0,0,0
website,component,apps/website/components/marketing/stats-bar.tsx,,Stats Bar,Reusable content for Stats Bar,Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,170,66,0,0,0,0,0,0
website,component,apps/website/components/multi-org-section.tsx,,Multi Org Section,Reusable content for Multi Org Section,Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,158,48,0,0,0,0,0,0
website,dialog,apps/website/components/navbar.tsx,,Navbar,"Contextual dialog, sheet, or confirmation content",Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,352,149,3,0,0,0,0,0
website,component,apps/website/components/page-sections.tsx,,Page Sections,Reusable content for Page Sections,Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,58,20,0,0,0,0,0,0
website,component,apps/website/components/principles-section.tsx,,Principles Section,Reusable content for Principles Section,Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,91,36,0,0,0,0,0,0
website,component,apps/website/components/product-gallery-section.tsx,,Product Gallery Section,Reusable content for Product Gallery Section,Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,143,51,0,0,0,0,0,0
website,component,apps/website/components/repo-card.tsx,,Repo Card,Reusable content for Repo Card,Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,888,285,0,0,0,0,0,0
website,component,apps/website/components/scramble-text.tsx,,Scramble Text,Reusable content for Scramble Text,Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,509,188,0,0,0,0,0,0
website,component,apps/website/components/section-header.tsx,,Section Header,Reusable content for Section Header,Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,129,56,0,0,0,0,0,0
website,component,apps/website/components/shared/error-boundary.tsx,,Error Boundary,Reusable content for Error Boundary,Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,149,57,0,0,0,0,0,0
website,component,apps/website/components/shared/json-ld.tsx,,Json Ld,Reusable content for Json Ld,Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,25,15,0,0,0,0,0,0
website,component,apps/website/components/shared/smart-link.tsx,,Smart Link,Reusable content for Smart Link,Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,137,56,0,0,0,0,0,0
website,component,apps/website/components/side-nav.tsx,,Side Nav,Reusable content for Side Nav,Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,267,109,0,0,0,0,0,0
website,component,apps/website/components/signals-section.tsx,,Signals Section,Reusable content for Signals Section,Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,595,187,0,0,0,0,0,1
website,component,apps/website/components/smooth-scroll.tsx,,Smooth Scroll,Reusable content for Smooth Scroll,Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,61,22,0,0,0,0,0,0
website,component,apps/website/components/split-flap-text.tsx,,Split Flap Text,Reusable content for Split Flap Text,Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,930,369,0,0,0,0,0,0
website,component,apps/website/components/status-badge.tsx,,Status Badge,Reusable content for Status Badge,Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,315,131,0,0,0,0,0,0
website,component,apps/website/components/workflow-section.tsx,,Workflow Section,Reusable content for Workflow Section,Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,130,51,0,0,0,0,0,0
website,content-source,apps/website/lib/agent-readiness/api.ts,,Api,Reusable content for Api,Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,114,52,0,0,0,0,0,0
website,content-source,apps/website/lib/agent-readiness/capabilities.ts,,Capabilities,Reusable content for Capabilities,Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,134,63,0,0,0,0,0,0
website,content-source,apps/website/lib/agent-readiness/openapi.ts,,Openapi,Reusable content for Openapi,Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,618,202,0,0,0,0,0,0
website,content-source,apps/website/lib/agent-readiness/schema.ts,,Schema,Reusable content for Schema,Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,135,58,0,0,0,0,0,0
website,content-source,apps/website/lib/connector-catalog.ts,,Connector Catalog,Reusable content for Connector Catalog,Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,1191,405,0,0,0,0,0,40
website,content-source,apps/website/lib/github.ts,,Github,Reusable content for Github,Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,559,158,0,0,0,0,0,0
website,content-source,apps/website/lib/marketing-content.ts,,Marketing Content,Reusable content for Marketing Content,Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Likely,Review in context,Not workflow-bound,website,SHORTEN,1634,484,0,0,0,0,0,3
website,content-source,apps/website/lib/sample-logs.ts,,Sample Logs,Reusable content for Sample Logs,Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,634,209,0,0,0,0,0,0
application,component,apps/app/app/agents/[threadId]/error.tsx,,Error,Reusable content for Error,Authenticated MantrixFlow users,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Yes or contextual,application,KEEP AND IMPROVE,8,4,0,0,0,0,0,0
application,component,apps/app/app/agents/[threadId]/loading.tsx,,Loading,Reusable content for Loading,Authenticated MantrixFlow users,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Yes or contextual,application,KEEP AND IMPROVE,6,2,0,0,0,0,0,0
application,route,apps/app/app/agents/[threadId]/page.tsx,/agents/[threadId],Page,Primary content for Page,Authenticated MantrixFlow users,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Yes or contextual,application,KEEP AND IMPROVE,45,16,0,0,0,0,0,0
application,route,apps/app/app/agents/activity/page.tsx,/agents/activity,Page,Primary content for Page,Authenticated MantrixFlow users,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Yes or contextual,application,KEEP AND IMPROVE,15,6,0,0,0,0,0,0
application,route,apps/app/app/agents/automations/page.tsx,/agents/automations,Page,Primary content for Page,Authenticated MantrixFlow users,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Yes or contextual,application,KEEP AND IMPROVE,15,6,0,0,0,0,0,0
application,route,apps/app/app/agents/automations/policies/page.tsx,/agents/automations/policies,Page,Primary content for Page,Authenticated MantrixFlow users,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Yes or contextual,application,KEEP AND IMPROVE,15,6,0,0,0,0,0,0
application,route,apps/app/app/agents/automations/runs/page.tsx,/agents/automations/runs,Page,Primary content for Page,Authenticated MantrixFlow users,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Yes or contextual,application,KEEP AND IMPROVE,15,6,0,0,0,0,0,0
application,route,apps/app/app/agents/developer/api/page.tsx,/agents/developer/api,Page,Primary content for Page,Authenticated MantrixFlow users,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Yes or contextual,application,KEEP AND IMPROVE,15,6,0,0,0,0,0,0
application,route,apps/app/app/agents/developer/connectors/[connectorId]/page.tsx,/agents/developer/connectors/[connectorId],Page,Primary content for Page,Authenticated MantrixFlow users,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Yes or contextual,application,KEEP AND IMPROVE,37,9,0,0,0,0,0,0
application,route,apps/app/app/agents/developer/connectors/page.tsx,/agents/developer/connectors,Page,Primary content for Page,Authenticated MantrixFlow users,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Yes or contextual,application,KEEP AND IMPROVE,15,6,0,0,0,0,0,0
application,route,apps/app/app/agents/developer/page.tsx,/agents/developer,Page,Primary content for Page,Authenticated MantrixFlow users,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Yes or contextual,application,KEEP AND IMPROVE,15,6,0,0,0,0,0,0
application,route,apps/app/app/agents/developer/sdks/page.tsx,/agents/developer/sdks,Page,Primary content for Page,Authenticated MantrixFlow users,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Yes or contextual,application,KEEP AND IMPROVE,15,6,0,0,0,0,0,0
application,route,apps/app/app/agents/developer/templates/page.tsx,/agents/developer/templates,Page,Primary content for Page,Authenticated MantrixFlow users,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Yes or contextual,application,KEEP AND IMPROVE,15,6,0,0,0,0,0,0
