occurrences,content,locations,recommended_action
2,create table analyticsfact orders order id varchar36 primary key customer ref varchar36 order amount decimal102 order status varchar50 payment method varchar100 channel varchar100 currency varchar10 is high value tinyint1 placed on date engineinnodb,md-docs/manual-testing/pipelines/db/27-postgres-to-mysql.md | md-docs/manual-testing/pipelines/db/28-postgres-to-mariadb.md,MERGE WITH ANOTHER PAGE
2,text pipeline httpsb7c9240940c150113ea3283661f91495f47cngrokfreeappapislackcommands connection httpsb7c9240940c150113ea3283661f91495f47cngrokfreeappapislackcommands mantrixflow httpsb7c9240940c150113ea3283661f91495f47cngrokfreeappapislackcommands,md-docs/manual-testing/slack-pipeline-e2e.md | md-docs/slack-guide.md,MERGE WITH ANOTHER PAGE
2,sql create table analyticsevent facts event id bigint primary key actor id varchar100 action varchar100 client ip varchar45 browser varchar255 http status int is success tinyint1 event date date event hour int engineinnodb default charsetutf8mb4,md-docs/manual-testing/pipelines/db/37-mariadb-to-mysql.md | md-docs/manual-testing/pipelines/db/38-mariadb-to-mariadb.md,MERGE WITH ANOTHER PAGE
2,sql create table analyticsdim users user uuid varchar36 primary key email address varchar255 full name varchar500 city varchar255 country varchar100 account tier varchar50 registered on date last active date engineinnodb default charsetutf8mb4,md-docs/manual-testing/pipelines/db/27-postgres-to-mysql.md | md-docs/manual-testing/pipelines/db/28-postgres-to-mariadb.md,MERGE WITH ANOTHER PAGE
2,sql create table analyticsgh issues issue id bigint primary key issue number int title text state varchar20 author login varchar255 label name varchar255 is closed tinyint1 opened on date closed on date engineinnodb default charsetutf8mb4,md-docs/manual-testing/pipelines/saas/17-github-to-mysql.md | md-docs/manual-testing/pipelines/saas/18-github-to-mariadb.md,MERGE WITH ANOTHER PAGE
2,create table analyticsgh pull requests pr id bigint primary key pr number int title text state varchar20 author login varchar255 head branch varchar255 base branch varchar255 is merged tinyint1 opened on date merged on date engineinnodb,md-docs/manual-testing/pipelines/saas/17-github-to-mysql.md | md-docs/manual-testing/pipelines/saas/18-github-to-mariadb.md,MERGE WITH ANOTHER PAGE
2,create table analyticshs companies company id varchar255 primary key company name varchar500 website varchar255 sector varchar255 city varchar255 country varchar100 annual rev decimal152 headcount int created on date engineinnodb,md-docs/manual-testing/pipelines/saas/12-hubspot-to-mysql.md | md-docs/manual-testing/pipelines/saas/13-hubspot-to-mariadb.md,MERGE WITH ANOTHER PAGE
2,sql create table analyticsshopify products product id bigint primary key product name varchar500 brand varchar255 category varchar255 is published tinyint1 listed on date updated on date engineinnodb default charsetutf8mb4,md-docs/manual-testing/pipelines/saas/07-shopify-to-mysql.md | md-docs/manual-testing/pipelines/saas/08-shopify-to-mariadb.md,MERGE WITH ANOTHER PAGE
2,create table analyticshs tickets ticket id varchar255 primary key ticket name varchar500 category varchar100 priority varchar50 ticket stage varchar100 owner id varchar255 created on date closed on date engineinnodb,md-docs/manual-testing/pipelines/saas/12-hubspot-to-mysql.md | md-docs/manual-testing/pipelines/saas/13-hubspot-to-mariadb.md,MERGE WITH ANOTHER PAGE
2,create table analyticsshopify draft orders draft id bigint primary key customer ref varchar50 draft total decimal102 currency varchar10 draft status varchar50 created on date has invoice tinyint1 engineinnodb,md-docs/manual-testing/pipelines/saas/07-shopify-to-mysql.md | md-docs/manual-testing/pipelines/saas/08-shopify-to-mariadb.md,MERGE WITH ANOTHER PAGE
2,create table analyticshs deals deal id varchar255 primary key deal name varchar500 deal value decimal122 stage varchar100 pipeline varchar255 close date date owner id varchar255 days to close int engineinnodb,md-docs/manual-testing/pipelines/saas/12-hubspot-to-mysql.md | md-docs/manual-testing/pipelines/saas/13-hubspot-to-mariadb.md,MERGE WITH ANOTHER PAGE
2,sql create table analyticsproduct master product id int primary key product name varchar255 product sku varchar100 unit price decimal102 is active tinyint1 added on date engineinnodb default charsetutf8mb4,md-docs/manual-testing/pipelines/db/32-mysql-to-mysql.md | md-docs/manual-testing/pipelines/db/33-mysql-to-mariadb.md,MERGE WITH ANOTHER PAGE
2,create table analyticsshopify locations location id bigint primary key location name varchar255 address1 varchar500 city varchar255 country code varchar10 is active tinyint1 is legacy tinyint1 engineinnodb,md-docs/manual-testing/pipelines/saas/07-shopify-to-mysql.md | md-docs/manual-testing/pipelines/saas/08-shopify-to-mariadb.md,MERGE WITH ANOTHER PAGE
2,create table analyticsshopify customers customer id bigint primary key email varchar255 full name varchar500 order count int lifetime spend decimal102 is verified tinyint1 registered on date engineinnodb,md-docs/manual-testing/pipelines/saas/07-shopify-to-mysql.md | md-docs/manual-testing/pipelines/saas/08-shopify-to-mariadb.md,MERGE WITH ANOTHER PAGE
2,create table analyticsfact payments payment id varchar36 primary key order ref varchar36 pay method varchar100 pay amount decimal102 pay status varchar50 is successful tinyint1 paid on date engineinnodb,md-docs/manual-testing/pipelines/db/27-postgres-to-mysql.md | md-docs/manual-testing/pipelines/db/28-postgres-to-mariadb.md,MERGE WITH ANOTHER PAGE
2,create table analyticsgh releases release id bigint primary key version varchar100 release name varchar500 is prerelease tinyint1 is draft tinyint1 author login varchar255 published on date engineinnodb,md-docs/manual-testing/pipelines/saas/17-github-to-mysql.md | md-docs/manual-testing/pipelines/saas/18-github-to-mariadb.md,MERGE WITH ANOTHER PAGE
2,create table analyticsshopify variants variant id bigint primary key product ref bigint variant title varchar255 sku varchar100 unit price decimal102 inventory qty int created on date engineinnodb,md-docs/manual-testing/pipelines/saas/07-shopify-to-mysql.md | md-docs/manual-testing/pipelines/saas/08-shopify-to-mariadb.md,MERGE WITH ANOTHER PAGE
2,create table analyticsshopify price rules rule id bigint primary key rule title varchar500 value type varchar50 discount value decimal102 valid from date valid to date usage limit int engineinnodb,md-docs/manual-testing/pipelines/saas/07-shopify-to-mysql.md | md-docs/manual-testing/pipelines/saas/08-shopify-to-mariadb.md,MERGE WITH ANOTHER PAGE
2,create table analyticsgh milestones milestone id bigint primary key milestone number int title varchar500 state varchar20 open issues int closed issues int due on date closed on date engineinnodb,md-docs/manual-testing/pipelines/saas/17-github-to-mysql.md | md-docs/manual-testing/pipelines/saas/18-github-to-mariadb.md,MERGE WITH ANOTHER PAGE
2,create table analyticshs pipeline stages stage id varchar255 primary key pipeline ref varchar255 stage label varchar255 display order int is closed tinyint1 probability decimal54 engineinnodb,md-docs/manual-testing/pipelines/saas/12-hubspot-to-mysql.md | md-docs/manual-testing/pipelines/saas/13-hubspot-to-mariadb.md,MERGE WITH ANOTHER PAGE
2,create table analyticssession facts session id varchar64 primary key user ref varchar100 ip address varchar45 is active tinyint1 duration mins int started on date ended on date engineinnodb,md-docs/manual-testing/pipelines/db/37-mariadb-to-mysql.md | md-docs/manual-testing/pipelines/db/38-mariadb-to-mariadb.md,MERGE WITH ANOTHER PAGE
2,create table analyticsshopify articles article id bigint primary key article title varchar500 author name varchar255 blog id bigint is published tinyint1 published on date engineinnodb,md-docs/manual-testing/pipelines/saas/07-shopify-to-mysql.md | md-docs/manual-testing/pipelines/saas/08-shopify-to-mariadb.md,MERGE WITH ANOTHER PAGE
2,create table analyticsshopify pages page id bigint primary key page title varchar500 url handle varchar255 author name varchar255 is published tinyint1 published on date engineinnodb,md-docs/manual-testing/pipelines/saas/07-shopify-to-mysql.md | md-docs/manual-testing/pipelines/saas/08-shopify-to-mariadb.md,MERGE WITH ANOTHER PAGE
2,create table analyticshs tasks task id varchar255 primary key subject varchar500 task type varchar100 status varchar50 priority varchar50 due on date created on date engineinnodb,md-docs/manual-testing/pipelines/saas/12-hubspot-to-mysql.md | md-docs/manual-testing/pipelines/saas/13-hubspot-to-mariadb.md,MERGE WITH ANOTHER PAGE
2,create table analyticsshopify collections collection id bigint primary key collection name varchar500 url handle varchar255 is published tinyint1 published on date engineinnodb,md-docs/manual-testing/pipelines/saas/07-shopify-to-mysql.md | md-docs/manual-testing/pipelines/saas/08-shopify-to-mariadb.md,MERGE WITH ANOTHER PAGE
2,create table analyticsstock ledger inventory id int primary key product ref int qty on hand int warehouse code varchar100 stock status varchar20 refreshed on date engineinnodb,md-docs/manual-testing/pipelines/db/32-mysql-to-mysql.md | md-docs/manual-testing/pipelines/db/33-mysql-to-mariadb.md,MERGE WITH ANOTHER PAGE
2,create table analyticscategory tree category id int primary key category name varchar255 url slug varchar255 parent ref int is root tinyint1 added on date engineinnodb,md-docs/manual-testing/pipelines/db/32-mysql-to-mysql.md | md-docs/manual-testing/pipelines/db/33-mysql-to-mariadb.md,MERGE WITH ANOTHER PAGE
2,create table analyticshs owners owner id varchar255 primary key first name varchar255 last name varchar255 email varchar255 user id bigint created on date engineinnodb,md-docs/manual-testing/pipelines/saas/12-hubspot-to-mysql.md | md-docs/manual-testing/pipelines/saas/13-hubspot-to-mariadb.md,MERGE WITH ANOTHER PAGE
2,create table analyticshs pipelines pipeline id varchar255 primary key pipeline label varchar255 object type varchar100 is default tinyint1 created on date engineinnodb,md-docs/manual-testing/pipelines/saas/12-hubspot-to-mysql.md | md-docs/manual-testing/pipelines/saas/13-hubspot-to-mariadb.md,MERGE WITH ANOTHER PAGE
2,savedqueriesfindq qid sourcenamequery sourcename sourcename fetchdatasetcolumnsdatasourceid sourcetype actualsourcename thendiscoveredcolumns catcherror toasterror,apps/app/app/workspace/data-sources/[id]/query/dataset-config.tsx | apps/app/app/workspace/datasets/[id]/page.tsx,MERGE WITH ANOTHER PAGE
2,create table analyticsgh projects project id bigint primary key project number int project name varchar500 project state varchar20 created on date engineinnodb,md-docs/manual-testing/pipelines/saas/17-github-to-mysql.md | md-docs/manual-testing/pipelines/saas/18-github-to-mariadb.md,MERGE WITH ANOTHER PAGE
2,create table analyticsshopify collects collect id bigint primary key collection ref bigint product ref bigint sort value varchar100 added on date engineinnodb,md-docs/manual-testing/pipelines/saas/07-shopify-to-mysql.md | md-docs/manual-testing/pipelines/saas/08-shopify-to-mariadb.md,MERGE WITH ANOTHER PAGE
2,create table analyticsshopify inventory items item id bigint primary key sku varchar100 is tracked tinyint1 cost price decimal102 created on date engineinnodb,md-docs/manual-testing/pipelines/saas/07-shopify-to-mysql.md | md-docs/manual-testing/pipelines/saas/08-shopify-to-mariadb.md,MERGE WITH ANOTHER PAGE
2,create table analyticshs associations assoc id varchar255 primary key from id varchar255 to id varchar255 assoc type varchar100 created on date engineinnodb,md-docs/manual-testing/pipelines/saas/12-hubspot-to-mysql.md | md-docs/manual-testing/pipelines/saas/13-hubspot-to-mariadb.md,MERGE WITH ANOTHER PAGE
2,create table analyticsgh contributors github user id int primary key github login varchar255 commit count int avatar url text profile url text engineinnodb,md-docs/manual-testing/pipelines/saas/17-github-to-mysql.md | md-docs/manual-testing/pipelines/saas/18-github-to-mariadb.md,MERGE WITH ANOTHER PAGE
2,create table analyticsshopify themes theme id bigint primary key theme name varchar255 theme role varchar50 is live tinyint1 created on date engineinnodb,md-docs/manual-testing/pipelines/saas/07-shopify-to-mysql.md | md-docs/manual-testing/pipelines/saas/08-shopify-to-mariadb.md,MERGE WITH ANOTHER PAGE
2,create table analyticsgh labels label id bigint primary key label name varchar255 hex color varchar10 is default tinyint1 description text engineinnodb,md-docs/manual-testing/pipelines/saas/17-github-to-mysql.md | md-docs/manual-testing/pipelines/saas/18-github-to-mariadb.md,MERGE WITH ANOTHER PAGE
2,create table analyticsgh forks fork id bigint primary key owner login varchar255 fork name varchar500 is private tinyint1 forked on date engineinnodb,md-docs/manual-testing/pipelines/saas/17-github-to-mysql.md | md-docs/manual-testing/pipelines/saas/18-github-to-mariadb.md,MERGE WITH ANOTHER PAGE
2,destination ddl sql create table analyticscharges dollars id text primary key amount dollars numeric10 2 currency text status text created bigint,md-docs/manual-testing/column-mapping.md | md-docs/manual-testing/sources/stripe.md,MERGE WITH ANOTHER PAGE
2,create table analyticsgh branches branch name varchar255 primary key commit sha varchar100 is protected tinyint1 engineinnodb,md-docs/manual-testing/pipelines/saas/17-github-to-mysql.md | md-docs/manual-testing/pipelines/saas/18-github-to-mariadb.md,MERGE WITH ANOTHER PAGE
2,no staging tables select table name from information schematables where table schema analytics and table name like dlt 0 rows,md-docs/manual-testing/ui-testing/saas/notion-ui.md | md-docs/manual-testing/ui-testing/saas/stripe-ui.md,MERGE WITH ANOTHER PAGE
2,no dlt tables select table name from information schematables where table schema analytics and table name like dlt,md-docs/manual-testing/pipelines/saas/02-stripe-to-mysql.md | md-docs/manual-testing/pipelines/saas/05-stripe-to-cockroachdb.md,MERGE WITH ANOTHER PAGE
2,create table analyticstag master tag id int primary key tag name varchar255 hex color varchar10 engineinnodb,md-docs/manual-testing/pipelines/db/42-sqlite-to-mysql.md | md-docs/manual-testing/pipelines/db/43-sqlite-to-mariadb.md,MERGE WITH ANOTHER PAGE
2,bash cd appsservereltserver venvbinpython m uvicorn apimainapp host 0000 port 8000 loop asyncio,md-docs/salesforce-postgres-setup.md | md-docs/salesforce-postgres-testing-guide.md,MERGE WITH ANOTHER PAGE
2,organization owners cannot have their role changed transfer ownership first,apps/app/app/workspace/team/[id]/edit/page.tsx | apps/app/app/workspace/team/page.tsx,MERGE WITH ANOTHER PAGE
2,this page is kept as a safe landing page for older or direct links,apps/mantrixflow-docs/sync-reference/cdc-overview.mdx | apps/mantrixflow-docs/sync-reference/cdc-postgresql.mdx,MERGE WITH ANOTHER PAGE
2,cannot assign owner role ownership must be transferred separately,apps/app/app/workspace/team/[id]/edit/page.tsx | apps/app/app/workspace/team/page.tsx,MERGE WITH ANOTHER PAGE
2,owner access is transferred separately from organization settings,apps/app/app/workspace/team/_components/edit-team-member-dialog.tsx | apps/app/app/workspace/team/_components/invite-team-member-dialog.tsx,MERGE WITH ANOTHER PAGE
2,connect a database or service to start building pipelines,apps/app/app/workspace/connections/components/ConnectorCatalog.tsx | apps/app/app/workspace/connections/page.tsx,MERGE WITH ANOTHER PAGE
2,in result result as success if success showsuccesstoast,apps/app/app/workspace/connections/components/ConnectionDrawer.tsx | apps/app/app/workspace/connections/components/ConnectionList.tsx,MERGE WITH ANOTHER PAGE
2,queryfn if organizationid datasourceid throw new error,apps/app/lib/api/hooks/use-connection.ts | apps/app/lib/api/hooks/use-data-source.ts,MERGE WITH ANOTHER PAGE
2,queryfn if organizationid pipelineid throw new error,apps/app/lib/api/hooks/use-data-pipelines.ts | apps/app/lib/api/hooks/use-github.ts,MERGE WITH ANOTHER PAGE
2,queryfn if organizationid schemaid throw new error,apps/app/lib/api/hooks/use-destination-schemas.ts | apps/app/lib/api/hooks/use-source-schemas.ts,MERGE WITH ANOTHER PAGE
2,expected phase 0 fails with column mismatch error,md-docs/manual-testing/destinations/mysql.md | md-docs/manual-testing/destinations/sqlite.md,MERGE WITH ANOTHER PAGE
