occurrences,content,locations,recommended_action
2,sql create table analyticsproduct master product id int primary key product name varchar255 product sku varchar100 unit price decimal102 is active tinyint1 added on date engineinnodb default charsetutf8mb4,md-docs/manual-testing/pipelines/db/32-mysql-to-mysql.md | md-docs/manual-testing/pipelines/db/33-mysql-to-mariadb.md,MERGE WITH ANOTHER PAGE
2,create table analyticsshopify locations location id bigint primary key location name varchar255 address1 varchar500 city varchar255 country code varchar10 is active tinyint1 is legacy tinyint1 engineinnodb,md-docs/manual-testing/pipelines/saas/07-shopify-to-mysql.md | md-docs/manual-testing/pipelines/saas/08-shopify-to-mariadb.md,MERGE WITH ANOTHER PAGE
2,create table analyticsshopify customers customer id bigint primary key email varchar255 full name varchar500 order count int lifetime spend decimal102 is verified tinyint1 registered on date engineinnodb,md-docs/manual-testing/pipelines/saas/07-shopify-to-mysql.md | md-docs/manual-testing/pipelines/saas/08-shopify-to-mariadb.md,MERGE WITH ANOTHER PAGE
2,create table analyticsfact payments payment id varchar36 primary key order ref varchar36 pay method varchar100 pay amount decimal102 pay status varchar50 is successful tinyint1 paid on date engineinnodb,md-docs/manual-testing/pipelines/db/27-postgres-to-mysql.md | md-docs/manual-testing/pipelines/db/28-postgres-to-mariadb.md,MERGE WITH ANOTHER PAGE
2,create table analyticsgh releases release id bigint primary key version varchar100 release name varchar500 is prerelease tinyint1 is draft tinyint1 author login varchar255 published on date engineinnodb,md-docs/manual-testing/pipelines/saas/17-github-to-mysql.md | md-docs/manual-testing/pipelines/saas/18-github-to-mariadb.md,MERGE WITH ANOTHER PAGE
2,create table analyticsshopify variants variant id bigint primary key product ref bigint variant title varchar255 sku varchar100 unit price decimal102 inventory qty int created on date engineinnodb,md-docs/manual-testing/pipelines/saas/07-shopify-to-mysql.md | md-docs/manual-testing/pipelines/saas/08-shopify-to-mariadb.md,MERGE WITH ANOTHER PAGE
2,create table analyticsshopify price rules rule id bigint primary key rule title varchar500 value type varchar50 discount value decimal102 valid from date valid to date usage limit int engineinnodb,md-docs/manual-testing/pipelines/saas/07-shopify-to-mysql.md | md-docs/manual-testing/pipelines/saas/08-shopify-to-mariadb.md,MERGE WITH ANOTHER PAGE
2,create table analyticsgh milestones milestone id bigint primary key milestone number int title varchar500 state varchar20 open issues int closed issues int due on date closed on date engineinnodb,md-docs/manual-testing/pipelines/saas/17-github-to-mysql.md | md-docs/manual-testing/pipelines/saas/18-github-to-mariadb.md,MERGE WITH ANOTHER PAGE
2,create table analyticshs pipeline stages stage id varchar255 primary key pipeline ref varchar255 stage label varchar255 display order int is closed tinyint1 probability decimal54 engineinnodb,md-docs/manual-testing/pipelines/saas/12-hubspot-to-mysql.md | md-docs/manual-testing/pipelines/saas/13-hubspot-to-mariadb.md,MERGE WITH ANOTHER PAGE
2,create table analyticssession facts session id varchar64 primary key user ref varchar100 ip address varchar45 is active tinyint1 duration mins int started on date ended on date engineinnodb,md-docs/manual-testing/pipelines/db/37-mariadb-to-mysql.md | md-docs/manual-testing/pipelines/db/38-mariadb-to-mariadb.md,MERGE WITH ANOTHER PAGE
2,create table analyticsshopify articles article id bigint primary key article title varchar500 author name varchar255 blog id bigint is published tinyint1 published on date engineinnodb,md-docs/manual-testing/pipelines/saas/07-shopify-to-mysql.md | md-docs/manual-testing/pipelines/saas/08-shopify-to-mariadb.md,MERGE WITH ANOTHER PAGE
2,create table analyticsshopify pages page id bigint primary key page title varchar500 url handle varchar255 author name varchar255 is published tinyint1 published on date engineinnodb,md-docs/manual-testing/pipelines/saas/07-shopify-to-mysql.md | md-docs/manual-testing/pipelines/saas/08-shopify-to-mariadb.md,MERGE WITH ANOTHER PAGE
2,create table analyticshs tasks task id varchar255 primary key subject varchar500 task type varchar100 status varchar50 priority varchar50 due on date created on date engineinnodb,md-docs/manual-testing/pipelines/saas/12-hubspot-to-mysql.md | md-docs/manual-testing/pipelines/saas/13-hubspot-to-mariadb.md,MERGE WITH ANOTHER PAGE
2,create table analyticsshopify collections collection id bigint primary key collection name varchar500 url handle varchar255 is published tinyint1 published on date engineinnodb,md-docs/manual-testing/pipelines/saas/07-shopify-to-mysql.md | md-docs/manual-testing/pipelines/saas/08-shopify-to-mariadb.md,MERGE WITH ANOTHER PAGE
2,create table analyticsstock ledger inventory id int primary key product ref int qty on hand int warehouse code varchar100 stock status varchar20 refreshed on date engineinnodb,md-docs/manual-testing/pipelines/db/32-mysql-to-mysql.md | md-docs/manual-testing/pipelines/db/33-mysql-to-mariadb.md,MERGE WITH ANOTHER PAGE
2,create table analyticscategory tree category id int primary key category name varchar255 url slug varchar255 parent ref int is root tinyint1 added on date engineinnodb,md-docs/manual-testing/pipelines/db/32-mysql-to-mysql.md | md-docs/manual-testing/pipelines/db/33-mysql-to-mariadb.md,MERGE WITH ANOTHER PAGE
2,create table analyticshs owners owner id varchar255 primary key first name varchar255 last name varchar255 email varchar255 user id bigint created on date engineinnodb,md-docs/manual-testing/pipelines/saas/12-hubspot-to-mysql.md | md-docs/manual-testing/pipelines/saas/13-hubspot-to-mariadb.md,MERGE WITH ANOTHER PAGE
2,create table analyticshs pipelines pipeline id varchar255 primary key pipeline label varchar255 object type varchar100 is default tinyint1 created on date engineinnodb,md-docs/manual-testing/pipelines/saas/12-hubspot-to-mysql.md | md-docs/manual-testing/pipelines/saas/13-hubspot-to-mariadb.md,MERGE WITH ANOTHER PAGE
2,create table analyticsgh projects project id bigint primary key project number int project name varchar500 project state varchar20 created on date engineinnodb,md-docs/manual-testing/pipelines/saas/17-github-to-mysql.md | md-docs/manual-testing/pipelines/saas/18-github-to-mariadb.md,MERGE WITH ANOTHER PAGE
2,create table analyticsshopify collects collect id bigint primary key collection ref bigint product ref bigint sort value varchar100 added on date engineinnodb,md-docs/manual-testing/pipelines/saas/07-shopify-to-mysql.md | md-docs/manual-testing/pipelines/saas/08-shopify-to-mariadb.md,MERGE WITH ANOTHER PAGE
2,create table analyticsshopify inventory items item id bigint primary key sku varchar100 is tracked tinyint1 cost price decimal102 created on date engineinnodb,md-docs/manual-testing/pipelines/saas/07-shopify-to-mysql.md | md-docs/manual-testing/pipelines/saas/08-shopify-to-mariadb.md,MERGE WITH ANOTHER PAGE
2,create table analyticshs associations assoc id varchar255 primary key from id varchar255 to id varchar255 assoc type varchar100 created on date engineinnodb,md-docs/manual-testing/pipelines/saas/12-hubspot-to-mysql.md | md-docs/manual-testing/pipelines/saas/13-hubspot-to-mariadb.md,MERGE WITH ANOTHER PAGE
2,create table analyticsgh contributors github user id int primary key github login varchar255 commit count int avatar url text profile url text engineinnodb,md-docs/manual-testing/pipelines/saas/17-github-to-mysql.md | md-docs/manual-testing/pipelines/saas/18-github-to-mariadb.md,MERGE WITH ANOTHER PAGE
2,create table analyticsshopify themes theme id bigint primary key theme name varchar255 theme role varchar50 is live tinyint1 created on date engineinnodb,md-docs/manual-testing/pipelines/saas/07-shopify-to-mysql.md | md-docs/manual-testing/pipelines/saas/08-shopify-to-mariadb.md,MERGE WITH ANOTHER PAGE
2,create table analyticsgh labels label id bigint primary key label name varchar255 hex color varchar10 is default tinyint1 description text engineinnodb,md-docs/manual-testing/pipelines/saas/17-github-to-mysql.md | md-docs/manual-testing/pipelines/saas/18-github-to-mariadb.md,MERGE WITH ANOTHER PAGE
2,create table analyticsgh forks fork id bigint primary key owner login varchar255 fork name varchar500 is private tinyint1 forked on date engineinnodb,md-docs/manual-testing/pipelines/saas/17-github-to-mysql.md | md-docs/manual-testing/pipelines/saas/18-github-to-mariadb.md,MERGE WITH ANOTHER PAGE
2,for a list of pairings validated by the platform see the clickhouse source and destination connector reference examplepipelinesclickhouseandmysql,apps/mantrixflow-docs/connections/destinations/clickhouse.mdx | apps/mantrixflow-docs/connections/sources/database/clickhouse.mdx,MERGE WITH ANOTHER PAGE
2,destination ddl sql create table analyticscharges dollars id text primary key amount dollars numeric10 2 currency text status text created bigint,md-docs/manual-testing/column-mapping.md | md-docs/manual-testing/sources/stripe.md,MERGE WITH ANOTHER PAGE
2,use full table for the first run small reference tables or deliberate snapshots a run reads every selected source row visible to the source user,apps/mantrixflow-docs/connections/sources/database/clickhouse.mdx | apps/mantrixflow-docs/connections/sources/database/postgresql.mdx,MERGE WITH ANOTHER PAGE
2,with a primary or unique key a first run inserts rows and later runs update the matching rows this is the recommended production configuration,apps/mantrixflow-docs/connections/destinations/clickhouse.mdx | apps/mantrixflow-docs/connections/destinations/mysql.mdx,MERGE WITH ANOTHER PAGE
2,without a key delivery cannot identify an existing row deterministically add a stable primary or unique key before enabling repeated runs,apps/mantrixflow-docs/connections/destinations/clickhouse.mdx | apps/mantrixflow-docs/connections/destinations/mysql.mdx,MERGE WITH ANOTHER PAGE
2,if the database uses an ip allowlist or private network follow private database access connectionsprivatedatabaseaccess before testing,apps/mantrixflow-docs/connections/sources/database/clickhouse.mdx | apps/mantrixflow-docs/connections/sources/database/postgresql.mdx,MERGE WITH ANOTHER PAGE
2,the cursor should be populated indexed and updated whenever a row changes use a stable primary key such as id for upsert delivery,apps/mantrixflow-docs/connections/sources/database/clickhouse.mdx | apps/mantrixflow-docs/connections/sources/database/postgresql.mdx,MERGE WITH ANOTHER PAGE
2,create table analyticsgh branches branch name varchar255 primary key commit sha varchar100 is protected tinyint1 engineinnodb,md-docs/manual-testing/pipelines/saas/17-github-to-mysql.md | md-docs/manual-testing/pipelines/saas/18-github-to-mariadb.md,MERGE WITH ANOTHER PAGE
2,no staging tables select table name from information schematables where table schema analytics and table name like dlt 0 rows,md-docs/manual-testing/ui-testing/saas/notion-ui.md | md-docs/manual-testing/ui-testing/saas/stripe-ui.md,MERGE WITH ANOTHER PAGE
2,create a dedicated writer if table creation is managed separately the runtime user needs only data access to existing tables,apps/mantrixflow-docs/connections/destinations/clickhouse.mdx | apps/mantrixflow-docs/connections/destinations/mysql.mdx,MERGE WITH ANOTHER PAGE
2,the duplicate query should return no rows compare the count with the runs rows written value accounting for any sql filters,apps/mantrixflow-docs/connections/destinations/clickhouse.mdx | apps/mantrixflow-docs/connections/destinations/mysql.mdx,MERGE WITH ANOTHER PAGE
2,no dlt tables select table name from information schematables where table schema analytics and table name like dlt,md-docs/manual-testing/pipelines/saas/02-stripe-to-mysql.md | md-docs/manual-testing/pipelines/saas/05-stripe-to-cockroachdb.md,MERGE WITH ANOTHER PAGE
2,mantrixflow stores checkpoint state only after a successful run failed runs do not advance the saved checkpoint,apps/mantrixflow-docs/connections/sources/database/clickhouse.mdx | apps/mantrixflow-docs/connections/sources/database/postgresql.mdx,MERGE WITH ANOTHER PAGE
2,updated at for inserts and updates created at for appendonly tables or a monotonically increasing identifier,apps/mantrixflow-docs/connections/sources/database/clickhouse.mdx | apps/mantrixflow-docs/connections/sources/database/postgresql.mdx,MERGE WITH ANOTHER PAGE
2,create table analyticstag master tag id int primary key tag name varchar255 hex color varchar10 engineinnodb,md-docs/manual-testing/pipelines/db/42-sqlite-to-mysql.md | md-docs/manual-testing/pipelines/db/43-sqlite-to-mariadb.md,MERGE WITH ANOTHER PAGE
2,bash cd appsservereltserver venvbinpython m uvicorn apimainapp host 0000 port 8000 loop asyncio,md-docs/integrations/connectors/salesforce-postgres-setup.md | md-docs/integrations/connectors/salesforce-postgres-testing.md,MERGE WITH ANOTHER PAGE
2,this page is kept as a safe landing page for older or direct links,apps/mantrixflow-docs/sync-reference/cdc-overview.mdx | apps/mantrixflow-docs/sync-reference/cdc-postgresql.mdx,MERGE WITH ANOTHER PAGE
2,1 save draft 2 validate draft 3 preview output 4 publish revision,apps/mantrixflow-docs/example/pipelines/hubspot-to-postgres.mdx | apps/mantrixflow-docs/getting-started/core-concepts.mdx,MERGE WITH ANOTHER PAGE
2,expected phase 0 fails with column mismatch error,md-docs/manual-testing/destinations/mysql.md | md-docs/manual-testing/destinations/sqlite.md,MERGE WITH ANOTHER PAGE
